Scenario,Approach,parameter,Iteration,Country,Club,tag,EV,EV_previous_round,Max_Iteration,Bool
Scenario_D,Realistic_wi_china,qoes,0,mozambique,outside,non-producer,-0.455574363470078,0,5,No
Scenario_D,Diplomatic,qxw,4,ssa,outside,non-producer,-189.942413330078,-255.80500793457,49,No
Scenario_D,Realistic_wi_china,qoes,4,malasya,outside,producer,-12.3769836425781,17.9384574890137,5,No
Scenario_D,Diplomatic,qxw,18,russia,outside,non-producer,2.50136804580688,-17.4038143157959,49,No
Scenario_D,Diplomatic,qoes,2,angdrc,outside,producer,56.842342376709,53.4758224487305,4,No
Scenario_D,Idealist,qo,1,peru,outside,producer,-1755.71362304688,-24.605052947998,6,No
Scenario_D,Diplomatic,qxw,3,uk,inside,non-producer,-245.793609619141,-351.820343017578,49,No
Scenario_D,Diplomatic,qo,0,newzealand,outside,non-producer,1.55786085128784,0,49,No
Scenario_D,Diplomatic,qxw,14,nigeria,outside,non-producer,9.95579433441162,-6.07343292236328,49,No
Scenario_D,Realistic_wi_china,qxw,2,mozambique,outside,non-producer,-7.22083568572998,-3.50654792785645,5,No
Scenario_D,Realistic_wi_china,qoes,2,southasia,outside,non-producer,2.19136881828308,-9.05228996276855,5,No
Scenario_D,Realistic_wi_china,qoes,1,japan,inside,non-producer,-159.190963745117,21.5041255950928,5,No
Scenario_D,Diplomatic,qxw,42,argentina,inside,producer,-25.5224609375,-26.4378623962402,49,No
Scenario_D,Diplomatic,qo,28,korea,inside,non-producer,-227.985580444336,-144.996490478516,49,No
Scenario_D,Realistic_wi_china,qo,0,seasia,outside,non-producer,47.1371421813965,0,5,No
Scenario_D,Diplomatic,qxw,9,paraguay,inside,producer,-96.9669799804688,-56.1526374816895,49,No
Scenario_D,Idealist,qo,3,newzealand,inside,non-producer,22.2705078125,-21.8167457580566,6,No
Scenario_D,Diplomatic,qo,37,paraguay,inside,producer,1610.57006835938,-37.3908767700195,49,No
Scenario_D,Realistic_wi_china,qxw,3,china,inside,non-producer,-445.906799316406,-236.331893920898,5,No
Scenario_D,Diplomatic,qxw,47,restofworld,outside,non-producer,-175.08381652832,-174.742645263672,49,No
Scenario_D,Diplomatic,qo,28,angdrc,outside,producer,22.3957710266113,47.9179534912109,49,No
Scenario_D,Diplomatic,qo,30,paraguay,inside,producer,46991.65625,-44.1649169921875,49,No
Scenario_D,Realistic_wi_china,qoes,4,uruguay,inside,non-producer,-33.5248603820801,-71.6762924194336,5,No
Scenario_D,Diplomatic,qxw,40,mexico,inside,non-producer,170.093414306641,160.286499023438,49,No
Scenario_D,Diplomatic,qo,4,eu27,inside,non-producer,297.470275878906,1713.52905273438,49,No
Scenario_D,Idealist,qxw,3,angdrc,outside,producer,0.391616404056549,-5.8057804107666,5,No
Scenario_D,Diplomatic,qo,28,bolivia,inside,producer,31.0788249969482,69.0014343261719,49,No
Scenario_D,Diplomatic,qo,44,restofworld,outside,non-producer,-43.8042144775391,-130.131225585938,49,No
Scenario_D,Realistic_wo_china,qxw,2,oceania,inside,non-producer,-51.6986999511719,12.552209854126,5,No
Scenario_D,Diplomatic,qo,15,russia,outside,non-producer,-143.809204101562,98.1981353759766,49,No
Scenario_D,Diplomatic,qxw,40,indonesia,outside,producer,47.2986297607422,56.9586563110352,49,No
Scenario_D,Diplomatic,qo,5,indonesia,outside,producer,78.0958480834961,20.6438369750977,49,No
Scenario_D,Diplomatic,qo,29,mozambique,outside,non-producer,-4.88440036773682,-13.3202362060547,49,No
Scenario_D,Realistic_wo_china,qo,0,indonesia,outside,producer,-8.82216644287109,0,5,No
Scenario_D,Diplomatic,qoes,3,korea,outside,non-producer,186.10758972168,195.134124755859,4,No
Scenario_D,Diplomatic,qxw,38,mexico,inside,non-producer,170.002655029297,170.093414306641,49,No
Scenario_D,Idealist,qo,5,mena,inside,non-producer,378.184478759766,-23.4125137329102,6,No
Scenario_D,Diplomatic,qo,23,brasil,outside,producer,-4952.35791015625,74.6912689208984,49,No
Scenario_D,Idealist,qxw,4,latinamer,inside,non-producer,152.661102294922,175.643463134766,5,No
Scenario_D,Diplomatic,qo,8,angdrc,outside,producer,-18.6413764953613,16.3216667175293,49,No
Scenario_D,Realistic_wi_china,qoes,2,nigeria,outside,non-producer,-26.9383316040039,-29.4046821594238,5,No
Scenario_D,Diplomatic,qo,28,canada,inside,non-producer,248.291687011719,169.391342163086,49,No
Scenario_D,Realistic_wo_china,qoes,0,eu27,inside,non-producer,164.129669189453,0,4,No
Scenario_D,Realistic_wo_china,qo,0,angdrc,outside,producer,-1.09477496147156,0,5,No
Scenario_D,Diplomatic,qo,16,efta,inside,non-producer,14.040901184082,-153.119873046875,49,No
Scenario_D,Diplomatic,qxw,17,newzealand,inside,non-producer,47.3762893676758,45.4761047363281,49,No
Scenario_D,Diplomatic,qxw,10,ivorycoast,inside,producer,-568.1044921875,-562.782592773438,49,No
Scenario_D,Realistic_wo_china,qo,4,uruguay,inside,non-producer,36.0435752868652,12.8279027938843,5,No
Scenario_D,Idealist,qo,3,efta,inside,non-producer,153.647689819336,1.92778015136719,6,No
Scenario_D,Diplomatic,qo,25,russia,outside,non-producer,76.0025634765625,98.3085403442383,49,No
Scenario_D,Diplomatic,qxw,33,china,outside,non-producer,-105.80534362793,-191.69482421875,49,No
Scenario_D,Diplomatic,qxw,16,indonesia,outside,producer,47.2986297607422,56.9586563110352,49,No
Scenario_D,Realistic_wi_china,qoes,4,ghana,inside,producer,41.3375396728516,63.9526634216309,5,No
Scenario_D,Idealist,qo,5,nigeria,outside,non-producer,68.0220031738281,132.308258056641,6,No
Scenario_D,Idealist,qxw,3,us,inside,non-producer,707.489990234375,-461.606201171875,5,No
Scenario_D,Diplomatic,qo,0,nigeria,outside,non-producer,4.78839588165283,0,49,No
Scenario_D,Realistic_wo_china,qxw,4,canada,inside,non-producer,179.688812255859,145.44384765625,5,No
Scenario_D,Diplomatic,qxw,35,us,inside,non-producer,967.7861328125,869.451721191406,49,No
Scenario_D,Diplomatic,qo,42,seasia,outside,non-producer,-496.345855712891,-298.610137939453,49,No
Scenario_D,Realistic_wo_china,qxw,0,ghana,inside,producer,-195.701995849609,0,5,No
Scenario_D,Diplomatic,qo,36,mozambique,outside,non-producer,-6.37941360473633,-23.926197052002,49,No
Scenario_D,Diplomatic,qxw,47,china,outside,non-producer,-191.69482421875,-153.538650512695,49,No
Scenario_D,Diplomatic,qxw,14,restofworld,outside,non-producer,-175.08381652832,-174.742645263672,49,No
